threshold,recall,precision,flag_rate,f1,tp,fp,fn
-0.10416712970443294,0.005025125628140704,0.00425531914893617,0.006681451154327306,0.004608294930875576,1.0,234.0,198.0
-0.1007967089170778,0.005025125628140704,0.0038022813688212928,0.007477538951438645,0.004329004329004329,1.0,262.0,198.0
-0.09742628812972268,0.005025125628140704,0.003484320557491289,0.00815989992039122,0.004115226337448559,1.0,286.0,198.0
-0.09405586734236754,0.01507537688442211,0.009404388714733543,0.009069714545661321,0.011583011583011584,3.0,316.0,196.0
-0.09068544655501241,0.01507537688442211,0.008771929824561403,0.009723643807574206,0.011090573012939002,3.0,339.0,196.0
-0.08731502576765729,0.01507537688442211,0.007936507936507936,0.010747185261003071,0.010398613518197573,3.0,375.0,196.0
-0.08394460498030215,0.01507537688442211,0.007194244604316547,0.011856021835551006,0.00974025974025974,3.0,414.0,196.0
-0.08057418419294703,0.02512562814070352,0.010964912280701754,0.012964858410098942,0.015267175572519083,5.0,451.0,194.0
-0.07720376340559189,0.02512562814070352,0.01016260162601626,0.013988399863527807,0.014471780028943563,5.0,487.0,194.0
-0.07383334261823676,0.035175879396984924,0.013257575757575758,0.01501194131695667,0.01925722145804677,7.0,521.0,192.0
-0.07046292183088163,0.035175879396984924,0.012302284710017574,0.016177641305583988,0.018229166666666664,7.0,562.0,192.0
-0.06709250104352651,0.04020100502512563,0.013311148086522463,0.01708745593085409,0.02,8.0,593.0,191.0
-0.06372208025617138,0.04020100502512563,0.012759170653907496,0.017826680313886047,0.01937046004842615,8.0,619.0,191.0
-0.06035165946881624,0.04522613065326633,0.013782542113323124,0.018565904696918004,0.02112676056338028,9.0,644.0,190.0
-0.0569812386814611,0.04522613065326633,0.01327433628318584,0.01927669737291027,0.020524515393386546,9.0,669.0,190.0
-0.05361081789410599,0.04522613065326633,0.01267605633802817,0.020186511998180372,0.019801980198019806,9.0,701.0,190.0
-0.05024039710675085,0.05025125628140704,0.013605442176870748,0.020897304674172636,0.021413276231263385,10.0,725.0,189.0
-0.04686997631939571,0.06030150753768844,0.015789473684210527,0.021608097350164904,0.025026068821689257,12.0,748.0,187.0
-0.0434995555320406,0.06532663316582915,0.016270337922403004,0.02271693392471284,0.026052104208416835,13.0,786.0,186.0
-0.04012913474468546,0.08040201005025126,0.01907032181168057,0.023854202206300468,0.030828516377649325,16.0,823.0,183.0
-0.036758713957330325,0.08542713567839195,0.0194954128440367,0.02479244853861026,0.031746031746031744,17.0,855.0,182.0
-0.033388293169975214,0.10050251256281408,0.021505376344086023,0.026441487546912317,0.0354295837023915,20.0,910.0,179.0
-0.030017872382620076,0.10552763819095477,0.021148036253776436,0.028232685090412827,0.03523489932885906,21.0,972.0,178.0
-0.026647451595264937,0.11557788944723618,0.02184235517568851,0.029938587512794268,0.03674121405750799,23.0,1030.0,176.0
-0.0232770308079098,0.1407035175879397,0.02471315092674316,0.03221312407596952,0.04204204204204204,28.0,1105.0,171.0
